Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
39.13524866104126,1,8,8,8,1.3114754098360657
48.90589237213135,2,0,8,8,1.3114754098360657
58.804803133010864,3,0,8,8,1.3114754098360657
70.283282995224,4,0,8,8,1.3114754098360657
82.01097440719604,5,3,11,11,1.8032786885245902
95.25305938720703,6,0,11,11,1.8032786885245902
109.06145286560059,7,0,11,11,1.8032786885245902
121.19979691505432,8,1,12,12,1.9672131147540985
134.62453436851501,9,0,11,12,1.8032786885245902
147.59622526168823,10,0,9,12,1.4754098360655739
160.45365262031555,11,0,11,12,1.8032786885245902
174.18487429618835,12,0,10,12,1.639344262295082
187.28397011756897,13,0,10,12,1.639344262295082
198.56070113182068,14,1,10,13,1.639344262295082
210.3781545162201,15,0,12,13,1.9672131147540985
223.50125408172607,16,0,12,13,1.9672131147540985
235.47214913368225,17,0,12,13,1.9672131147540985
246.66725397109985,18,0,12,13,1.9672131147540985
260.493971824646,19,0,12,13,1.9672131147540985
272.71655797958374,20,0,9,13,1.4754098360655739
284.7765254974365,21,0,9,13,1.4754098360655739
296.60434317588806,22,0,9,13,1.4754098360655739
308.7788677215576,23,0,9,13,1.4754098360655739
321.4089469909668,24,0,9,13,1.4754098360655739
333.4106924533844,25,0,9,13,1.4754098360655739
343.8312101364136,26,1,10,14,1.639344262295082
354.267094373703,27,0,11,14,1.8032786885245902
367.2217929363251,28,0,10,14,1.639344262295082
379.6423251628876,29,1,10,15,1.639344262295082
391.85687232017517,30,0,11,15,1.8032786885245902
405.32935547828674,31,0,11,15,1.8032786885245902
416.4200060367584,32,0,11,15,1.8032786885245902
429.0410907268524,33,0,11,15,1.8032786885245902
439.5844404697418,34,0,11,15,1.8032786885245902
451.16351103782654,35,0,11,15,1.8032786885245902
463.60924196243286,36,0,12,15,1.9672131147540985
476.1199514865875,37,0,10,15,1.639344262295082
486.1932487487793,38,0,11,15,1.8032786885245902
497.484130859375,39,0,11,15,1.8032786885245902
507.9605944156647,40,0,11,15,1.8032786885245902
520.3725113868713,41,0,12,15,1.9672131147540985
532.3331186771393,42,0,10,15,1.639344262295082
544.1306133270264,43,0,10,15,1.639344262295082
555.9472353458405,44,0,10,15,1.639344262295082
567.3935751914978,45,0,9,15,1.4754098360655739
577.959644317627,46,0,11,15,1.8032786885245902
590.2366561889648,47,0,11,15,1.8032786885245902
