Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
18.907081842422485,1,0,0,0,0.0
25.075681447982788,2,0,0,0,0.0
27.21938157081604,3,1,1,1,0.046511627906976744
31.32979989051819,4,0,1,1,0.046511627906976744
35.67290759086609,5,0,1,1,0.046511627906976744
38.12050104141235,6,0,1,1,0.046511627906976744
42.356897830963135,7,0,1,1,0.046511627906976744
46.59880566596985,8,0,1,1,0.046511627906976744
50.89080786705017,9,0,1,1,0.046511627906976744
54.07646107673645,10,0,1,1,0.046511627906976744
59.02012014389038,11,0,1,1,0.046511627906976744
63.031414270401,12,0,1,1,0.046511627906976744
67.3346529006958,13,0,1,1,0.046511627906976744
71.94373512268066,14,0,1,1,0.046511627906976744
75.9048867225647,15,0,1,1,0.046511627906976744
81.03090476989746,16,0,1,1,0.046511627906976744
85.60086059570312,17,0,1,1,0.046511627906976744
90.8593499660492,18,0,1,1,0.046511627906976744
95.83494877815247,19,1,2,2,0.09302325581395349
99.61795330047607,20,0,1,2,0.046511627906976744
105.86590480804443,21,0,2,2,0.09302325581395349
113.04127192497253,22,0,2,2,0.09302325581395349
119.36680173873901,23,0,2,2,0.09302325581395349
129.09783625602722,24,0,2,2,0.09302325581395349
134.2000663280487,25,0,1,2,0.046511627906976744
138.96378087997437,26,0,1,2,0.046511627906976744
146.91819143295288,27,0,2,2,0.09302325581395349
156.58865237236023,28,0,2,2,0.09302325581395349
161.36932063102722,29,0,1,2,0.046511627906976744
166.37178468704224,30,0,1,2,0.046511627906976744
171.6710307598114,31,0,1,2,0.046511627906976744
181.31288504600525,32,0,2,2,0.09302325581395349
189.26965379714966,33,0,2,2,0.09302325581395349
199.63703393936157,34,0,2,2,0.09302325581395349
209.0182774066925,35,0,2,2,0.09302325581395349
217.1850550174713,36,0,2,2,0.09302325581395349
228.47141885757446,37,1,3,3,0.13953488372093023
231.67272901535034,38,0,1,3,0.046511627906976744
240.08456754684448,39,0,3,3,0.13953488372093023
250.03318285942078,40,0,3,3,0.13953488372093023
254.7191812992096,41,0,1,3,0.046511627906976744
260.27414774894714,42,0,1,3,0.046511627906976744
265.1021583080292,43,0,1,3,0.046511627906976744
277.47677731513977,44,0,2,3,0.09302325581395349
288.7807471752167,45,0,2,3,0.09302325581395349
301.82925295829773,46,0,2,3,0.09302325581395349
308.2579183578491,47,0,0,3,0.0
315.88522577285767,48,0,0,3,0.0
330.4621982574463,49,0,2,3,0.09302325581395349
345.6475684642792,50,0,2,3,0.09302325581395349
358.64876103401184,51,0,2,3,0.09302325581395349
373.8258855342865,52,0,2,3,0.09302325581395349
389.1544735431671,53,0,2,3,0.09302325581395349
402.79654359817505,54,1,3,4,0.13953488372093023
416.9689724445343,55,0,3,4,0.13953488372093023
435.4415283203125,56,0,3,4,0.13953488372093023
440.3825590610504,57,0,1,4,0.046511627906976744
446.1125831604004,58,0,1,4,0.046511627906976744
