Time,Frame,New_detections,Current_detections,Total_detections
6.420919895172119,1,15,15,15.0
9.54622769355774,2,0,15,15.0
10.001302719116211,3,1,16,16.0
12.298594951629639,4,0,16,16.0
14.589790105819702,5,0,15,16.0
16.727071285247803,6,0,14,16.0
18.90314555168152,7,1,15,17.0
19.37655282020569,8,0,17,17.0
21.598683834075928,9,0,17,17.0
22.07073950767517,10,0,17,17.0
22.526376962661743,11,0,17,17.0
24.704660177230835,12,0,17,17.0
26.96245765686035,13,0,14,17.0
29.17735242843628,14,0,15,17.0
31.411695957183838,15,0,15,17.0
33.62648320198059,16,0,15,17.0
34.116610288619995,17,1,18,18.0
34.593674182891846,18,0,18,18.0
35.033159017562866,19,0,18,18.0
35.54116916656494,20,0,18,18.0
37.844011306762695,21,0,18,18.0
40.05401945114136,22,2,16,20.0
40.510568380355835,23,0,20,20.0
40.98013949394226,24,0,20,20.0
41.43276309967041,25,0,20,20.0
43.74300169944763,26,0,20,20.0
46.05150079727173,27,0,15,20.0
46.44703674316406,28,0,20,20.0
48.85984492301941,29,0,20,20.0
49.35792875289917,30,0,20,20.0
51.751898527145386,31,0,20,20.0
52.20039772987366,32,0,20,20.0
52.692484617233276,33,0,20,20.0
53.21855068206787,34,0,20,20.0
55.80829477310181,35,0,20,20.0
59.257465839385986,36,0,15,20.0
59.72010111808777,37,0,20,20.0
62.33888602256775,38,0,20,20.0
65.04446291923523,39,0,14,20.0
65.5368423461914,40,0,20,20.0
66.06575202941895,41,0,20,20.0
66.62119269371033,42,0,20,20.0
67.16107392311096,43,0,20,20.0
69.95510601997375,44,0,20,20.0
72.65853118896484,45,0,14,20.0
75.46075987815857,46,0,14,20.0
78.2882432937622,47,0,14,20.0
81.10510468482971,48,0,14,20.0
83.88543701171875,49,0,14,20.0
86.73401713371277,50,0,15,20.0
89.54014420509338,51,0,15,20.0
92.408198595047,52,0,15,20.0
92.94099378585815,53,0,15,20.0
95.84230494499207,54,0,15,20.0
96.4498860836029,55,2,16,22.0
96.9995424747467,56,0,16,22.0
99.95656514167786,57,0,16,22.0
102.92363953590393,58,0,15,22.0
105.76275825500488,59,0,15,22.0
106.27338457107544,60,0,16,22.0
107.0167543888092,61,0,16,22.0
107.63612079620361,62,0,16,22.0
110.50215411186218,63,0,16,22.0
111.06133341789246,64,0,16,22.0
111.60941982269287,65,0,16,22.0
114.55489587783813,66,0,16,22.0
115.15775084495544,67,0,16,22.0
115.88454937934875,68,0,16,22.0
118.94243097305298,69,0,16,22.0
119.61519980430603,70,0,16,22.0
120.23840618133545,71,0,16,22.0
120.86649465560913,72,0,16,22.0
121.51661729812622,73,0,16,22.0
122.12981986999512,74,0,16,22.0
122.71292662620544,75,0,16,22.0
125.60036396980286,76,0,16,22.0
128.566890001297,77,0,16,22.0
131.5887176990509,78,0,16,22.0
132.3529074192047,79,1,17,23.0
135.30145978927612,80,0,17,23.0
135.96333265304565,81,0,17,23.0
138.97923374176025,82,0,17,23.0
141.92485690116882,83,1,18,24.0
142.63099575042725,84,1,19,25.0
145.52336049079895,85,0,19,25.0
146.18217086791992,86,0,19,25.0
146.7502896785736,87,0,19,25.0
149.66173839569092,88,0,19,25.0
152.63252115249634,89,0,17,25.0
153.24111032485962,90,0,19,25.0
156.1858367919922,91,0,19,25.0
159.23056888580322,92,1,18,26.0
162.25091004371643,93,0,18,26.0
162.9839107990265,94,0,20,26.0
163.59266877174377,95,0,20,26.0
166.44565343856812,96,0,20,26.0
169.32248663902283,97,0,17,26.0
172.2860164642334,98,0,18,26.0
172.95317363739014,99,0,20,26.0
173.5684072971344,100,0,20,26.0
174.22576093673706,101,0,20,26.0
174.82655501365662,102,0,20,26.0
175.5621395111084,103,0,20,26.0
178.4962112903595,104,0,20,26.0
179.19140791893005,105,0,20,26.0
