Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
53.705647706985474,1,0,0,0,0.0
61.33947944641113,2,0,0,0,0.0
63.120736837387085,3,3,3,3,0.13953488372093023
65.35944509506226,4,0,3,3,0.13953488372093023
67.70722770690918,5,0,3,3,0.13953488372093023
72.45685338973999,6,1,4,4,0.18604651162790697
74.6950671672821,7,1,5,5,0.23255813953488372
78.78512763977051,8,0,5,5,0.23255813953488372
82.49887084960938,9,0,4,5,0.18604651162790697
86.36470484733582,10,0,4,5,0.18604651162790697
89.89148330688477,11,0,4,5,0.18604651162790697
93.4253077507019,12,0,4,5,0.18604651162790697
97.330251455307,13,0,4,5,0.18604651162790697
100.69055366516113,14,0,4,5,0.18604651162790697
104.30368661880493,15,1,4,6,0.18604651162790697
106.40542340278625,16,0,5,6,0.23255813953488372
110.17429852485657,17,0,5,6,0.23255813953488372
113.57712531089783,18,2,7,8,0.32558139534883723
119.13473558425903,19,0,7,8,0.32558139534883723
122.92553234100342,20,1,8,9,0.37209302325581395
126.93795847892761,21,0,8,9,0.37209302325581395
130.16010451316833,22,0,8,9,0.37209302325581395
135.38033604621887,23,0,8,9,0.37209302325581395
138.98274874687195,24,0,8,9,0.37209302325581395
144.31369137763977,25,0,8,9,0.37209302325581395
147.82714867591858,26,0,8,9,0.37209302325581395
153.67056345939636,27,0,8,9,0.37209302325581395
158.74709272384644,28,0,8,9,0.37209302325581395
163.81096720695496,29,0,7,9,0.32558139534883723
169.91587114334106,30,0,7,9,0.32558139534883723
174.78882384300232,31,0,7,9,0.32558139534883723
181.3580195903778,32,0,7,9,0.32558139534883723
185.82596826553345,33,0,4,9,0.18604651162790697
190.11234593391418,34,0,4,9,0.18604651162790697
193.9478259086609,35,0,4,9,0.18604651162790697
198.52474641799927,36,0,4,9,0.18604651162790697
203.17566394805908,37,1,8,10,0.37209302325581395
207.75855016708374,38,0,8,10,0.37209302325581395
213.2394733428955,39,0,8,10,0.37209302325581395
