Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
13.655945301055908,1,0,0,0,0.0
19.680278539657593,2,0,0,0,0.0
22.535973072052002,3,0,0,0,0.0
27.288421154022217,4,0,0,0,0.0
31.27044415473938,5,0,0,0,0.0
33.8606858253479,6,0,0,0,0.0
38.04603099822998,7,0,0,0,0.0
40.159931659698486,8,0,0,0,0.0
41.90577006340027,9,0,0,0,0.0
44.22651028633118,10,0,0,0,0.0
46.34369111061096,11,0,0,0,0.0
50.040050745010376,12,0,0,0,0.0
53.68791317939758,13,0,0,0,0.0
57.9303662776947,14,0,0,0,0.0
60.520588874816895,15,0,0,0,0.0
63.12489151954651,16,0,0,0,0.0
67.18829250335693,17,0,0,0,0.0
69.6005187034607,18,0,0,0,0.0
73.51914095878601,19,0,0,0,0.0
76.26139760017395,20,0,0,0,0.0
81.18355369567871,21,0,0,0,0.0
83.97435593605042,22,0,0,0,0.0
86.97859692573547,23,0,0,0,0.0
89.75782084465027,24,0,0,0,0.0
92.33999991416931,25,0,0,0,0.0
96.7174141407013,26,0,0,0,0.0
101.06735897064209,27,0,0,0,0.0
105.28171753883362,28,0,0,0,0.0
109.5486388206482,29,0,0,0,0.0
114.19300484657288,30,0,0,0,0.0
119.2514431476593,31,0,0,0,0.0
124.0054829120636,32,0,0,0,0.0
128.70634698867798,33,1,1,1,0.1639344262295082
132.19211196899414,34,0,1,1,0.1639344262295082
135.2473394870758,35,0,1,1,0.1639344262295082
139.0742702484131,36,1,2,2,0.3278688524590164
142.8109085559845,37,0,2,2,0.3278688524590164
148.34922122955322,38,0,2,2,0.3278688524590164
153.6312370300293,39,0,2,2,0.3278688524590164
157.35105681419373,40,0,2,2,0.3278688524590164
161.08841919898987,41,0,2,2,0.3278688524590164
164.99980807304382,42,0,2,2,0.3278688524590164
170.3691852092743,43,0,2,2,0.3278688524590164
176.67376899719238,44,0,2,2,0.3278688524590164
182.82584691047668,45,0,2,2,0.3278688524590164
187.10572624206543,46,1,3,3,0.49180327868852464
193.42534375190735,47,1,4,4,0.6557377049180328
200.03397512435913,48,0,3,4,0.49180327868852464
206.401109457016,49,0,3,4,0.49180327868852464
210.85856747627258,50,0,3,4,0.49180327868852464
217.33625316619873,51,0,3,4,0.49180327868852464
221.8192012310028,52,0,3,4,0.49180327868852464
226.87580132484436,53,0,4,4,0.6557377049180328
233.67914295196533,54,0,4,4,0.6557377049180328
240.74061036109924,55,0,4,4,0.6557377049180328
247.84055018424988,56,0,4,4,0.6557377049180328
255.06436491012573,57,0,4,4,0.6557377049180328
261.06176471710205,58,0,3,4,0.49180327868852464
268.8649468421936,59,0,3,4,0.49180327868852464
274.95300483703613,60,0,3,4,0.49180327868852464
281.4209568500519,61,0,3,4,0.49180327868852464
287.69316363334656,62,0,3,4,0.49180327868852464
293.5541181564331,63,0,3,4,0.49180327868852464
301.6891851425171,64,0,3,4,0.49180327868852464
308.5618419647217,65,0,1,4,0.1639344262295082
313.91108083724976,66,0,1,4,0.1639344262295082
319.83855175971985,67,0,1,4,0.1639344262295082
327.54204201698303,68,0,1,4,0.1639344262295082
333.5490086078644,69,0,1,4,0.1639344262295082
341.5307984352112,70,0,1,4,0.1639344262295082
347.604287147522,71,0,1,4,0.1639344262295082
354.8078713417053,72,0,1,4,0.1639344262295082
361.72892713546753,73,0,1,4,0.1639344262295082
367.57941794395447,74,0,1,4,0.1639344262295082
375.49881076812744,75,0,1,4,0.1639344262295082
381.9633483886719,76,0,1,4,0.1639344262295082
389.37864899635315,77,0,1,4,0.1639344262295082
395.1519389152527,78,0,1,4,0.1639344262295082
400.23901319503784,79,0,1,4,0.1639344262295082
405.3190920352936,80,0,1,4,0.1639344262295082
413.1750473976135,81,0,1,4,0.1639344262295082
421.35881757736206,82,1,2,5,0.3278688524590164
428.8169720172882,83,1,3,6,0.49180327868852464
438.4050176143646,84,1,4,7,0.6557377049180328
445.7661032676697,85,0,4,7,0.6557377049180328
455.221223115921,86,0,4,7,0.6557377049180328
462.9124138355255,87,0,3,7,0.49180327868852464
470.4033622741699,88,0,3,7,0.49180327868852464
477.4109797477722,89,0,4,7,0.6557377049180328
486.5933241844177,90,0,5,7,0.819672131147541
493.95943236351013,91,0,3,7,0.49180327868852464
502.4019949436188,92,0,4,7,0.6557377049180328
513.5108997821808,93,0,4,7,0.6557377049180328
521.1843521595001,94,0,4,7,0.6557377049180328
529.1086342334747,95,0,3,7,0.49180327868852464
537.1988661289215,96,1,4,8,0.6557377049180328
545.334703207016,97,0,3,8,0.49180327868852464
555.5153770446777,98,0,4,8,0.6557377049180328
564.9828898906708,99,0,4,8,0.6557377049180328
577.0248124599457,100,0,4,8,0.6557377049180328
585.4526028633118,101,0,3,8,0.49180327868852464
596.8088572025299,102,0,4,8,0.6557377049180328
609.8812518119812,103,0,3,8,0.49180327868852464
621.3090300559998,104,0,2,8,0.3278688524590164
635.9562387466431,105,0,2,8,0.3278688524590164
642.9734463691711,106,0,1,8,0.1639344262295082
650.3032984733582,107,0,1,8,0.1639344262295082
660.6211793422699,108,0,1,8,0.1639344262295082
674.5925211906433,109,0,2,8,0.3278688524590164
686.1388719081879,110,0,2,8,0.3278688524590164
699.9676971435547,111,0,2,8,0.3278688524590164
708.0412573814392,112,0,2,8,0.3278688524590164
719.9839885234833,113,0,2,8,0.3278688524590164
732.2795984745026,114,0,2,8,0.3278688524590164
