Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
20.48632788658142,1,2,2,2,0.3278688524590164
25.348247528076172,2,0,1,2,0.1639344262295082
29.12157678604126,3,0,2,2,0.3278688524590164
34.41969966888428,4,0,2,2,0.3278688524590164
38.4314227104187,5,0,1,2,0.1639344262295082
42.75882172584534,6,0,1,2,0.1639344262295082
46.850502014160156,7,0,1,2,0.1639344262295082
50.232866048812866,8,0,2,2,0.3278688524590164
55.65288019180298,9,0,2,2,0.3278688524590164
59.355701208114624,10,0,2,2,0.3278688524590164
62.70105028152466,11,0,2,2,0.3278688524590164
66.35303258895874,12,0,2,2,0.3278688524590164
69.96246767044067,13,0,2,2,0.3278688524590164
73.25438261032104,14,0,2,2,0.3278688524590164
78.30537152290344,15,0,2,2,0.3278688524590164
82.03573751449585,16,0,2,2,0.3278688524590164
87.7612533569336,17,0,2,2,0.3278688524590164
92.25364923477173,18,0,1,2,0.1639344262295082
96.06297588348389,19,0,0,2,0.0
100.86745309829712,20,0,1,2,0.1639344262295082
105.39687395095825,21,0,1,2,0.1639344262295082
110.46706008911133,22,0,1,2,0.1639344262295082
114.80193734169006,23,0,2,2,0.3278688524590164
120.57350873947144,24,0,2,2,0.3278688524590164
125.36995077133179,25,0,1,2,0.1639344262295082
130.0285952091217,26,0,1,2,0.1639344262295082
134.29462456703186,27,0,1,2,0.1639344262295082
138.9765911102295,28,0,1,2,0.1639344262295082
143.44533252716064,29,0,2,2,0.3278688524590164
149.3808834552765,30,1,3,3,0.49180327868852464
153.60494089126587,31,0,3,3,0.49180327868852464
160.40664625167847,32,0,3,3,0.49180327868852464
165.3820765018463,33,0,2,3,0.3278688524590164
170.64205980300903,34,0,2,3,0.3278688524590164
176.19058513641357,35,0,2,3,0.3278688524590164
181.77909636497498,36,1,3,4,0.49180327868852464
187.94218754768372,37,0,3,4,0.49180327868852464
193.77164936065674,38,0,3,4,0.49180327868852464
199.63626337051392,39,0,3,4,0.49180327868852464
205.44670796394348,40,0,3,4,0.49180327868852464
211.29955554008484,41,0,3,4,0.49180327868852464
217.17098951339722,42,0,3,4,0.49180327868852464
223.68843936920166,43,0,3,4,0.49180327868852464
228.29545640945435,44,0,3,4,0.49180327868852464
232.45061898231506,45,1,4,5,0.6557377049180328
239.1397135257721,46,0,4,5,0.6557377049180328
243.92810106277466,47,1,5,6,0.819672131147541
247.6994435787201,48,0,5,6,0.819672131147541
251.35612225532532,49,0,3,6,0.49180327868852464
257.47594356536865,50,0,4,6,0.6557377049180328
263.473801612854,51,0,4,6,0.6557377049180328
271.6231026649475,52,0,5,6,0.819672131147541
279.78680181503296,53,0,5,6,0.819672131147541
288.01233959198,54,0,5,6,0.819672131147541
294.51382756233215,55,0,5,6,0.819672131147541
299.59198546409607,56,0,5,6,0.819672131147541
304.9804663658142,57,0,5,6,0.819672131147541
312.36678743362427,58,0,5,6,0.819672131147541
317.42830538749695,59,0,5,6,0.819672131147541
323.1108281612396,60,0,5,6,0.819672131147541
330.3094804286957,61,0,5,6,0.819672131147541
337.761864900589,62,0,5,6,0.819672131147541
344.32498717308044,63,0,5,6,0.819672131147541
351.52360558509827,64,0,5,6,0.819672131147541
358.2272357940674,65,0,4,6,0.6557377049180328
363.09635043144226,66,0,4,6,0.6557377049180328
