Time,Frame,New_detections,Current_detections,Total_detections,Density (people/m2)
55.07836151123047,1,0,0,0,0.0
55.534393548965454,2,0,0,0,0.0
61.363240242004395,3,0,0,0,0.0
73.00732278823853,4,10,10,10,1.639344262295082
83.67153406143188,5,1,11,11,1.8032786885245902
95.53449010848999,6,0,11,11,1.8032786885245902
107.2537682056427,7,0,10,11,1.639344262295082
122.50306344032288,8,1,10,12,1.639344262295082
133.94003891944885,9,1,13,13,2.1311475409836067
145.28450345993042,10,0,12,13,1.9672131147540985
155.21850633621216,11,0,12,13,1.9672131147540985
164.86087679862976,12,0,12,13,1.9672131147540985
175.2995502948761,13,0,12,13,1.9672131147540985
186.99022340774536,14,0,13,13,2.1311475409836067
201.76065111160278,15,0,9,13,1.4754098360655739
216.23546957969666,16,1,11,14,1.8032786885245902
230.38874554634094,17,0,11,14,1.8032786885245902
244.97072529792786,18,0,10,14,1.639344262295082
260.3876085281372,19,0,9,14,1.4754098360655739
272.46060609817505,20,0,13,14,2.1311475409836067
285.47109365463257,21,0,13,14,2.1311475409836067
298.09824419021606,22,0,13,14,2.1311475409836067
314.18990755081177,23,0,13,14,2.1311475409836067
327.2303340435028,24,0,13,14,2.1311475409836067
344.7903094291687,25,0,13,14,2.1311475409836067
360.9694800376892,26,0,13,14,2.1311475409836067
376.3980338573456,27,0,14,14,2.295081967213115
390.2371699810028,28,0,14,14,2.295081967213115
400.84328389167786,29,0,14,14,2.295081967213115
412.04250144958496,30,0,13,14,2.1311475409836067
422.5040593147278,31,0,13,14,2.1311475409836067
432.86001682281494,32,0,12,14,1.9672131147540985
445.6322910785675,33,0,13,14,2.1311475409836067
459.46190643310547,34,2,11,16,1.8032786885245902
473.3563299179077,35,0,12,16,1.9672131147540985
487.6652879714966,36,0,16,16,2.6229508196721314
501.5615785121918,37,0,16,16,2.6229508196721314
514.0853805541992,38,0,16,16,2.6229508196721314
528.6456336975098,39,0,16,16,2.6229508196721314
542.7409751415253,40,0,16,16,2.6229508196721314
558.2027373313904,41,0,16,16,2.6229508196721314
571.7604603767395,42,0,10,16,1.639344262295082
586.2012033462524,43,0,10,16,1.639344262295082
602.4418678283691,44,0,10,16,1.639344262295082
616.6077828407288,45,0,8,16,1.3114754098360657
631.800544500351,46,0,14,16,2.295081967213115
643.2630836963654,47,0,14,16,2.295081967213115
655.2241902351379,48,0,15,16,2.459016393442623
668.0775592327118,49,0,14,16,2.295081967213115
680.6417679786682,50,0,9,16,1.4754098360655739
692.3939554691315,51,0,10,16,1.639344262295082
704.1494317054749,52,0,14,16,2.295081967213115
715.7343826293945,53,0,15,16,2.459016393442623
728.159478187561,54,0,15,16,2.459016393442623
741.7069790363312,55,1,15,17,2.459016393442623
754.4525902271271,56,0,9,17,1.4754098360655739
767.4944181442261,57,0,9,17,1.4754098360655739
779.8875374794006,58,0,9,17,1.4754098360655739
791.8992118835449,59,0,15,17,2.459016393442623
803.4247462749481,60,0,15,17,2.459016393442623
817.275533914566,61,0,14,17,2.295081967213115
831.4365482330322,62,0,9,17,1.4754098360655739
845.2283000946045,63,0,9,17,1.4754098360655739
860.139185667038,64,0,9,17,1.4754098360655739
